OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
115;The Greenway Centre, The Southmead Development Trust;The Greenway Centre, Doncaster Road;BS10 5PY;Southmead;Mon-Fri 8am-10pm, Sat-Sun 9am - 5pm;1;3;4;0;1;Yes - has disabled shower in the unit;N;N;Yes - while open;N;Y;N;N;Y;Y;"{""coordinates"": [-2.608793382751279, 51.49948627978974], ""type"": ""Point""}";51.49948627978974, -2.608793382751279
141;Bishopston Library;Bishopston Library, Gloucester Road, Bishopston, Bristol;BS7 8BN;Redland;1pm-7pm Monday, 11am-5pm Wednesday, Thursday, Friday and Saturday;;;;1;1;Level access entry, automatic opening doors, accessible lift to first floor, accessible toilet.;N;;;;;N;N;N;N;"{""coordinates"": [-2.591437740486952, 51.475145408200945], ""type"": ""Point""}";51.475145408200945, -2.591437740486952
4481;Air Balloon Surgery;Kenn Road, St George, Bristol;BS5 7PD;St George Central;Monday-Friday 08:00-18:30;1;;1;;1;YES - Door 90cm. Cubical 240x180cm. Seat height 46cm, handrails;N;N;Yes during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.5324682980792033, 51.4589358738141], ""type"": ""Point""}";51.4589358738141, -2.5324682980792033
1633;The Jersey Lily;193 Whiteladies Road, Bristol;BS8 2SB;Clifton Down;Monday-Wedensday 11:00-23:00, Thurs- Saturday 11:00-00:00, Sunday 12:00-23:00;1;3;1;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.614014473803497, 51.46950229652369], ""type"": ""Point""}";51.46950229652369, -2.614014473803497
3473;Campus Pool;Whitchurch Road, Bishopsworth;BS13 7RW;Bishopsworth;Monday-Thursday 10:00-21:00, Friday and Saturday 10:00-18:00;;;;;1;YES - Support Rail movable, Cubicale size 234x308, Door width 90, Seat height 48cm;;;;;;;;;;"{""coordinates"": [-2.6171396380793395, 51.415985114521185], ""type"": ""Point""}";51.415985114521185, -2.6171396380793395
8749;Bristol South Swimming Pool;Dean Lane, Southville, Bristol;BS3 1BS;Southville;Monday 07:30-20:00, Tuesday 07:30-19:00, Wednesday 07:30-20:00, Thursday 07:30-20:15, Friday 07:30-18:00, Saturday & Sunday 08:00-15:45;1;0;1;0;1;Door over 1 metre, 300 x 300 cubicle, seat height 48cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, colour-contrastin;No;No;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.6008106970624536, 51.442127451681266], ""type"": ""Point""}";51.442127451681266, -2.6008106970624536
8752;Filwood Community Centre;Barnstaple Road, Bristol;BS4 1JP;Filwood;Monday to Friday 09:00-17:00, CLOSED WEEKENDS;1;4;2;0;1;Door less than 1 metre, 210 x 310 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, mirror, colour-contrast;No;No;Yes - during opening times;Yes;1;No;Yes;Yes;;"{""coordinates"": [-2.5863488510251753, 51.425694531328055], ""type"": ""Point""}";51.425694531328055, -2.5863488510251753
9380;Kingsdown Sports Centre;Portland Street, Bristol;BS2 8HL;Cotham;Monday to Friday 07:00-22:00, Saturday 08:00-18:00, Sunday 09:00-22:00;1;1;4;0;1;Door over 1 metre, 400 x 155 cubicle, seat height 49cm, hand rials by toilet and hand basin not movable, no locking lugs, mirror, colour-contrasting s;No;No;Yes - during opening times;No;1;No;No;No;;"{""coordinates"": [-2.5985558683338956, 51.46231974792028], ""type"": ""Point""}";51.46231974792028, -2.5985558683338956
9381;Mezzaluna;81 West Street, Bedminster, Bristol;BS3 3NU;Bedminster;Monday 11:00-22:00, Tuesday to Saturday 11:00-23:00, Sunday 11:00-21:00;0;0;0;2;1;Door over 1 metre, 175 x 175 cubicle, seat height 47cm, hand rails by toilet and hand basin movable,  no locking lugs, mirror, no colour-contrasting s;No;No;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.6032387157044052, 51.438019200489386], ""type"": ""Point""}";51.438019200489386, -2.6032387157044052
9382;Pizzeria Milano;266 Charlton Road, Bristol;BS15 1LS;Hillfields;Monday to Sunday 14:00-22:00;0;0;0;1;0;N/A;No;No;N/A;No;0;No;Yes;No;;"{""coordinates"": [-2.520123603523638, 51.47024369655738], ""type"": ""Point""}";51.47024369655738, -2.520123603523638
